Date,Overall Sentiment
2014-07-01,0
2014-07-02,-1
2014-07-03,0
2014-07-04,0
2014-07-05,0
2014-07-06,-1
2014-07-07,0
2014-07-08,0
2014-07-09,0
2014-07-10,0
2014-07-11,0
2014-07-12,0
2014-07-13,0
2014-07-14,-1
2014-07-15,-1
2014-07-16,-1
2014-07-17,-1
2014-07-18,0
2014-07-19,0
2014-07-20,-1
2014-07-21,0
2014-07-22,0
2014-07-23,-1
2014-07-24,0
2014-07-25,-1
2014-07-26,-1
2014-07-27,-1
2014-07-28,-1
2014-07-29,-1
2014-07-30,0
2014-07-31,0
